Date,Close/Last,Volume,Open,High,Low
10/22/2024,3.25,33964370,3.28,3.33,3.21
10/21/2024,3.245,44907510,3.53,3.53,3.24
10/18/2024,3.535,21464700,3.495,3.57,3.49
10/17/2024,3.585,37134020,3.46,3.59,3.38
10/16/2024,3.655,33277420,3.755,3.895,3.60
10/15/2024,3.90,43506140,3.575,4.04,3.538
10/14/2024,3.56,25871660,3.655,3.66,3.47
10/11/2024,3.745,15443650,3.78,3.80,3.684
10/10/2024,3.745,27325870,3.90,3.9399,3.73
10/09/2024,3.86,24455570,3.78,3.94,3.76
10/08/2024,3.855,23540300,4.02,4.075,3.81
10/07/2024,4.185,27420780,4.38,4.3899,3.984
10/04/2024,4.39,17351400,4.38,4.6099,4.375
10/03/2024,4.53,20573460,4.70,4.73,4.415
10/02/2024,4.87,16653290,5.0699,5.1799,4.8101
10/01/2024,5.02,20470990,4.65,5.1001,4.5901
09/30/2024,4.67,18327050,4.83,4.92,4.6601
09/27/2024,4.675,18399980,4.48,4.82,4.48
09/26/2024,4.49,25109660,4.28,4.6451,4.21
09/25/2024,4.52,23004750,4.64,4.66,4.40
09/24/2024,4.72,26276790,5.12,5.21,4.64
09/23/2024,5.12,14680890,5.105,5.25,5.065
09/20/2024,5.14,15212860,5.07,5.20,4.94
09/19/2024,4.985,13877170,5.05,5.05,4.83
09/18/2024,5.42,17013800,5.18,5.43,5.02
09/17/2024,5.20,15766020,4.98,5.28,4.935
09/16/2024,5.11,13235540,5.12,5.3012,4.995
09/13/2024,4.93,12353360,4.93,5.04,4.85
09/12/2024,4.91,21836660,5.12,5.245,4.78
09/11/2024,5.12,27931390,5.955,6.18,5.085
09/10/2024,6.115,11971510,6.14,6.48,5.9501
09/09/2024,6.29,15630000,6.50,6.66,6.282
09/06/2024,6.765,21465070,6.16,6.99,6.15
09/05/2024,6.255,21258410,6.53,6.545,5.965
09/04/2024,6.38,26398220,6.51,6.62,5.94
09/03/2024,6.17,24413900,5.47,6.23,5.46
08/30/2024,5.17,19364810,5.16,5.375,4.96
08/29/2024,5.34,29422460,5.05,5.4099,4.82
08/28/2024,4.735,32613110,4.56,4.941,4.545
08/27/2024,4.545,14407140,4.78,4.87,4.475
08/26/2024,4.675,18637040,4.465,4.82,4.3401
08/23/2024,4.49,12578720,4.75,4.79,4.4565
